Panel,ori,ref_chimera,chimera,ligand,n_1,n_2,mean_1,mean_2,sd_1,sd_2,sem_1,sem_2,padj_onesided,sig (padj_onesided<0.05)
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-131),Sucralose,6,6,15182.8071175,2417.9562668333333,5349.864634098266,829.1029736960613,2184.0730910836974,338.47987162992223,0.0018800657296726558,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-131),No ligand,6,6,2452.728490833333,2165.1178096666667,492.8638109714506,846.8672065754919,201.21080826059926,345.7320893343517,0.5149029339650643,
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-132),Sucrose,6,6,7146.651489666667,2932.2358165,2122.2910787709834,1513.924854946172,866.4217047749617,618.0572339225265,0.01361894199126366,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-132),Sucralose,6,6,15182.8071175,2174.583614333333,5349.864634098266,574.0889647490002,2184.0730910836974,234.37083843294826,0.0018800657296726558,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-132),No ligand,6,6,2452.728490833333,2439.5490563333333,492.8638109714506,664.3700295461999,201.21080826059926,271.2279287976623,0.7779493760094003,
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-123),Sucrose,6,6,7146.651489666667,3703.50484,2122.2910787709834,806.7406249734162,866.4217047749617,329.3504809931456,0.01443276971991132,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-123),Sucralose,6,6,15182.8071175,2961.0521821666666,5349.864634098266,782.5467695699134,2184.0730910836974,319.4733808849357,0.0018965893074842143,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-123),No ligand,6,6,2452.728490833333,2211.53921,492.8638109714506,652.8777777179904,201.21080826059926,266.5362366352156,0.5149029339650643,
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-125),Sucrose,6,6,7146.651489666667,3480.2015954999997,2122.2910787709834,1467.0491709126384,866.4217047749617,598.9203160515123,0.01361894199126366,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-125),Sucralose,6,6,15182.8071175,2411.2868654999997,5349.864634098266,840.8736661559681,2184.0730910836974,343.28523670425506,0.0018800657296726558,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-125),No ligand,6,6,2452.728490833333,2738.8531528333333,492.8638109714506,706.5611780603174,201.21080826059926,288.45239305125773,0.865164631549062,
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-124),Sucrose,6,6,7146.651489666667,4555.694248,2122.2910787709834,2065.194087152533,866.4217047749617,843.1119555560998,0.0442713384615961,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-124),Sucralose,6,6,15182.8071175,6127.6282555,5349.864634098266,2146.5192296984087,2184.0730910836974,876.3128059721836,0.004622867545306192,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-124),No ligand,6,6,2452.728490833333,3040.8295691666667,492.8638109714506,635.6431702567932,201.21080826059926,259.50023760236604,0.9788345188025316,
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-128),Sucrose,6,6,7146.651489666667,7281.343463666666,2122.2910787709834,1636.2681197877334,866.4217047749617,668.0036626438616,0.5725898700563762,
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-128),Sucralose,6,6,15182.8071175,2722.869982333333,5349.864634098266,757.9201228829537,2184.0730910836974,309.41959447512687,0.0018800657296726558,yes
